Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,10.0,0.0
Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,40.0,4.8
Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,40.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,100.0,5.0
vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,250.0,5.0
TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,28.0,5.0
arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,30.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,100.0,5.0
babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,100.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,2000.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,40.0,4.9
RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,70.0,4.8
Seblak Mang Muss,Tasikmalaya,SEBLAK KICIMPRING MANG MUSS,8250.0,750.0,4.8
BarokahJayaSnack,Bandung,Keripik Cireng Seblak Bandung,18000.0,30.0,4.8
Gerai Snack Official Shop,Kab. Tangerang,Bundling 3 - Seblak Bapper - Seblak Basranger - Seblak Terciduk,54000.0,8.0,0.0
CuankiCulametan,Kab. Garut,cuanki siomay mini gurilem 1 ons toping seblak baso aci,3000.0,40.0,5.0
Gerai Snack Official Shop,Kab. Tangerang,Maicih Basreng,15300.0,10000.0,4.8
Yogya Online Supermarket,Bogor,INDOMIE SEBLAK HOT JELETOT 75G (1C=40PCS),3100.0,250.0,4.8
Dapur Sehat21,Kab. Bandung,KERUPUK SEBLAK 250gr / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,12500.0,100.0,4.9
tokomakmurjaya_68,Tangerang Selatan,seblak ceker pedas (isi 15),11800.0,6.0,4.3
MaFa Jaya,Kab. Bandung,Cuanki Lidah Panjang Asli Garut bahan baku seblak dan baso Aci,170000.0,100.0,4.9
Tukangsayurmbakyu,Tangerang Selatan,Paket seblak sosis untuk 3 porsi,29000.0,8.0,5.0
SuperSnacksShop,Kab. Bandung,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg IKAN MERAH,23500.0,100.0,4.7
H Nugraha,Bandung,krupuk seblak bumbu kacang,15500.0,26.0,4.8
Pisang Goreng Madu Bu Nanik,Jakarta Barat,Seblak Kuah Instan Ibro,23000.0,80.0,4.9
Lestarishop24,Banjar,Seblak instan seblak dhero seblak kering cemilan kekkinian,15000.0,500.0,5.0
MamahLowlowShop,Kab. Tangerang,seblak instan murah enak,25000.0,7.0,5.0
The Little Snacks,Tangerang Selatan,Maicih Basreng,20900.0,1000.0,4.8
Gerai Snack Official Shop,Kab. Tangerang,Seblak Bapper Bikin Nagih Parah Extra Mie Kuning 120gr,18300.0,50.0,4.9
The Little Snacks,Tangerang Selatan,"Paket Cemilan Cup Instan Praktis (Batagor, Cuanki, Seblak Basah)",59000.0,250.0,4.9
101_Project,Tangerang,LepLep - Basreng,9500.0,250.0,4.8
Khalisa's Gallery,Kab. Subang,Baper (Basreng Super),10000.0,0.0,0.0
Gerai Snack Official Shop,Kab. Tangerang,Bundling 3 - Seblak Bapper - Seblak Basranger - Seblak Terciduk,54000.0,8.0,0.0
yohangunawan94,Bandung,BATAGOR Seblak 100gr Baso Tahu Goreng Siap Makan,1500.0,70.0,5.0
ArfaOnlineShop,Tangerang,PAKET MIX HEMAT 25 BASO ACI/BOCI/SEBLAK/CUANKI,45000.0,70.0,4.9
LARISSA SNACK STORE,Semarang,CAMILAN SEBLAK PEDAS 250GR JAJANAN OLEH-OLEH SNACK KILOAN CAMILAN KILO,12500.0,100.0,4.8
gaiagarut,Kab. Garut,siomay mini GURILEM EKONOMIS 1KG Toping Baso Aci Cuanki Seblak,25999.0,80.0,5.0
Markas Makaroni,Kab. Bekasi,krupuk seblak hah pedas gurih 1kg,50000.0,250.0,5.0
SIMANALAGI-KOSAMBI-BANDUNG 1,Bandung,KRUPUK KERUPUK SEBLAK PEDAS SYAHRINI,20000.0,30.0,5.0
HaRoZaDaZaSa store,Depok,seblak crispy,13000.0,40.0,4.4
Celikafood,Bandung,Siomay Cuankie Kering Cuangki Baso Bakso Aci Seblak,8000.0,50.0,4.9
CuankiCulametan,Kab. Garut,cuanki tahu pasung isi 50 murah batagor kering toping seblak baso aci,12000.0,100.0,4.9
The Little Snacks,Tangerang Selatan,Tulang Rangu Seblak Baso Aci Soaci Khas Garut Ajib,21900.0,500.0,4.9
Kerupuk Rempah,Bandung,Kerupuk Seblak Rempah Cikur,15000.0,0.0,0.0
KABITHA Snack Ciamis,Kab.Ciamis,seblak kencur,20000.0,0.0,0.0
The Little Snacks,Tangerang Selatan,"Paket Aneka Keripik Baso Goreng Basreng (Maicih, Odjolali, Sangarrr)",57000.0,60.0,4.9
Bang Bana,Kab. Malang,Basreng Pedas Cikruh Seblak Bantet Cikruh Daun Jeruk Kemasan Ekonomis - Basreng Stik,3000.0,250.0,4.9
afif jaya cemilan,Surabaya,kerupuk seblak pedas daun jeruk,9900.0,100.0,4.9
BawangBagus,Tangerang,Kerupuk Orange / Kerupuk Seblak 250gr / Kerupuk Mentah - BawangBagus,7500.0,5.0,0.0
Simshop_,Cimahi,SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR,10599.0,27.0,4.7
Distributor Cuanki dan Seblak,Kab. Bekasi,Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 1kg,28500.0,80.0,4.8
iwan resistans leather 2,Kab. Garut,"Seblak kuah instan , Seblak khas garut b",5000.0,500.0,4.9
Toko Toucan,Malang,KERUPUK MAWAR KERUPUK BAWANG BUAT SEBLAK RAFAEL,7500.0,4.0,5.0
RIKI STORE 97,Kab. Bogor,Kerupuk jeblay kiloan 1 kg pedas Kerupuk seblak,35000.0,1.0,0.0
afcbandung,Bandung,BATAGOR MINI Untuk Seblak Krupuk Batagor Kering Mini,14900.0,100.0,4.9
seblak mitoha,Kab. Bandung,"seblak krupuk 5000 ,hot pedas dan gurih - Pedas, 100gr",5000.0,30.0,4.3
Azmi Ngemil yukkk3,Kab. Bandung,seblak kering seblak bantet pedas daun jeruk/ kerupuk putih isi 100gr,5000.0,70.0,4.9
Onesupp Acc,Jakarta Barat,Gurilem Siomay Mini Kering 1KG Toping Seblak Baso Aci BISA COD,49680.0,7.0,5.0
dapurmami id,Tangerang,SEBLAK INSTAN MERCON,3999.0,50.0,4.8
Toko 21 Cempaka Baru,Jakarta Pusat,Kerupuk Jablay BANTET 1 BALL | Krupuk Jablay Seblak Kencur Warna Warni,77000.0,30.0,4.7
Gerai Snack Official Shop,Kab. Tangerang,Seblak Bantat Boboko Pedas Daun Jeruk Level 13 (200gr),15900.0,100.0,4.7
gaiagarut,Kab. Garut,SUKRO CIKUR RENYAH NGEPROS isi 1KG Pelengkap Baso Aci Cuanki Seblak,31999.0,60.0,5.0
dariimyu,Kab. Indramayu,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,17750.0,40.0,5.0
Celikafood,Bandung,Siomay Mini Seblak Kering Kerikil Kuncup Bakso Aci Cuanki Baso,7000.0,70.0,4.9
Ummi Frozen Food Online,Semarang,seblak instan,8500.0,7.0,5.0
AUFARO SNACK,Kab. Bandung Barat,SEBLAK MAWAR KERUPUK KRIWUL PEDAS 500 gr,30000.0,20.0,5.0
mamael official,Depok,Seblak Instan dengan Bumbu Original,12000.0,50.0,5.0
Kedai Alma,Kab. Garut,Seblak Alma Instan,5000.0,250.0,4.9
Grosir Besar Kalimantan,Banjarbaru,BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,51771.0,3.0,0.0
BAKUL_KERUPUK,Kab. Malang,Kerupuk Seblak Bibir Krupuk Bawang Mentah 250 gram,7000.0,10.0,5.0
gaiagarut,Kab. Garut,"Siomay Cuanki Kering isi 150pcs Toping Baso Aci, Seblak khas Garut",36959.0,750.0,4.9
Hokishopsurabaya,Surabaya,✔MURAH Kerupuk Mentah Serba 5000 berat 250gr / Krupuk Seblak,5558.0,100.0,4.8
endafoods,Kab. Bekasi,"GROSIR KERUPUK SEBLAK KENCUR PEDAS 1BAL (2,7kg)",79000.0,60.0,4.8
dina_487,Bandung,populer Makroni Mentah 250 Gram Makaroni Sayur Goreng Seblak Spiral,13000.0,0.0,0.0
Bosmart99,Jakarta Selatan,Seblak instan 1 bungkus makanan kekinian harga grosir murah terjangkau,12000.0,50.0,5.0
Cuanki_Bandung,Kab. Bandung,"Batagor Tahu Kering Mini 50pcs Topping Cuanki, Seblak, Baso, Dll.",6200.0,100.0,4.8
Celikafood,Bandung,Batagor Kering Tahu 1 Bungkus Cuanki Bakso Seblak Baso,6500.0,100.0,5.0
arsensnack,Kab. Bekasi,kerupuk seblak bantet kemasan,5000.0,22.0,4.9
ditysHopR3,Malang,krupuk seblak mawar,8000.0,11.0,5.0
Moenero,Kab. Tangerang,Cemilan Kerupuk Seblak Pedas Cemilan Imon 100Gr,15000.0,13.0,5.0
JajananArkanAnin,Kab. Bogor,Sebring/Seblak Kering Bandung Bumbu Kacang,19000.0,9.0,5.0
Cuanki_Bandung,Kab. Bandung,"Kerupuk Gelung Mentah 200gr Bahan Seblak, Krupuk, Cemilan, Dll.",4000.0,100.0,4.9
LinaRahayuPutriShop,Kab. Bandung,seblak sebul,50000.0,17.0,5.0
GOPEK86,Surabaya,krupuk seblak pedas 1kg,47799.0,3.0,5.0
Warung Snackk,Tangerang,kerupuk seblak pedas/kerupuk jablai 100gram,8000.0,7.0,5.0
PCB3BERKAH,Cirebon,Kerupuk Seblak Pedas Matang 100 gr Bonus Tinggal Pilih,7500.0,3.0,5.0
Tiga putri77,Kab. Bandung,seblak kerupuk kering pedas jeruk isi 500 gram seblak kemplang,25000.0,100.0,4.9
The Little Snacks,Tangerang Selatan,"Paket Aneka Baso Aci Seblak Khas Garut (Boci, Soaci, Geprek)",54000.0,250.0,4.9
Mo_toko,Tangerang Selatan,BOCI GEPREK Baso Aci Varian Geprek Camilan Lokal Instant Food,19750.0,18.0,5.0
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Berkahrr,Bekasi,seblak mamang Rafael versi kering,12000.0,10.0,0.0
Anggris store,Kab. Bogor,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,40.0,4.8
Agen Snack Murah,Jakarta Barat,KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,22999.0,40.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
yumnaa snack,Kab. Bekasi,kerupuk seblak kencur / kerupuk seblak kering - 250gram,12000.0,30.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
hikmah berkah jaya,Jakarta Barat,seblak instant sajodo snak,19000.0,750.0,4.8
emmoshop,Kab. Bogor,Mommy Seblak Basah Instant 100gr,10000.0,2000.0,4.9
Pusat Cuankie & Cemilan Frozen,Jakarta Timur,SEBLAK INSTANT TERMURAH,3999.0,10000.0,4.8
Aliya28,Tangerang Selatan,Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap,7500.0,100.0,5.0
vieka mart official,Tangerang Selatan,Seblak ala Kang Rafael | Seblak Viral | Seblak Cobek,9216.0,250.0,5.0
TokokelontongSejahtera,Jakarta Barat,KERUPUK SEBLAK VIRAL RAFAEL (MENTAH) 250GR,17500.0,28.0,5.0
arzy sembako,Kab. Bogor,kerupuk seblak rafael 500gram,13800.0,30.0,5.0
Toko NRV Plastik dan Bahan Kue,Bandung,Kerupuk Aci Mawar | Kerupuk Mawar Putih | Seblak Rafael Viral | 250gr,7999.0,100.0,5.0
babykhai,Jakarta Timur,seblak rafael / seblak coet / seblak cocol,7500.0,100.0,4.9
the Dhecip,Tangerang Selatan,Seblak Instan Pedas Home Made,3500.0,1000.0,4.8
Baso Aci Ayang,Kab. Garut,Seblak Instan Komplit Pedas Gurih Nikmat,5999.0,2000.0,4.9
BociKakang,Jakarta Selatan,SEBLAK KERING PEDAS DAUN JERUK,4500.0,500.0,4.6
Aydaa Snack,Surakarta,SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000.0,40.0,4.9
RIKI STORE 97,Kab. Bogor,Seblak pedas kerupuk pedas kiloan 1 kg,34000.0,70.0,4.8
